tokens,ner_tags
"['Người' 'môi_giới' 'Malaysia' 'đưa' 'chúng_tôi' 'đến' 'thăm' 'chỗ' 'ở'
 'của' 'LĐ' ',' 'tình_cờ' 'chứng_kiến' 'một' 'sự_việc' 'đau_lòng' 'khi'
 'hai' 'nhân_viên' 'bảo_vệ' 'khu' 'nhà' 'đang' 'chuẩn_bị' 'đạp' 'tung'
 'một' 'cánh' 'cửa' 'phòng' 'của' 'nữ' 'LĐ' 'VN' '.']",[0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0]
['Trên' 'tàu' 'có' 'bốn' 'thuyền_viên' 'VN' 'tuổi_đời' 'từ' '24-28' '.'],[0 0 0 0 0 5 0 0 0 0]
['Đấy' 'là' 'lần' 'đầu_tiên' 'tôi' 'gặp' 'đồng_chí' 'Bông' 'Văn' 'Dĩa' '.'],[0 0 0 0 0 0 0 1 2 2 0]
"['Trong' 'những' 'đêm' 'ngồi' 'lê_la' 'với' 'những' 'cô' 'gái' '""' 'hoa'
 'đêm' '""' 'ở' 'khu_vực' 'công_viên' '30-4' ',' 'hồ' 'Con_Rùa' ','
 'chúng_tôi' 'được' 'nghe' 'các' 'cô' 'kể' 'về' 'những' '""' 'đồng_nghiệp'
 '""' 'mà' 'theo' 'các' 'cô' 'là' '""' 'không' 'khi' 'nào' 'quên' 'tụi' 'nó'
 'được' '""' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 6 0 5 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0]"
"['Năm' 'cô' 'gái' 'phòng' '321' 'được' 'chia' 'hai' 'ca' 'làm_việc' ':'
 'ca' '23' 'g' 'và' 'ca' '7' 'g' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Đằng' 'sau' 'những' 'khát_vọng' 'đổi_đời' 'ấy' 'là' 'những' 'người'
 'cha' ',' 'người' 'mẹ' 'và' 'cả' 'những' 'người' 'bạn' 'cùng' 'lớp'
 'âm_thầm' 'thắp' 'lửa' 'yêu_thương' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Người' 'này' 'cho' 'biết' 'bà' 'Sinh' 'bị' 'ốm' 'cách' 'đây' 'một' 'năm'
 '.']",[0 0 0 0 0 1 0 0 0 0 0 0 0]
"['Đám_tang' 'Minh' 'chỉ' 'là' 'một' 'lễ' 'truy_điệu' 'của' 'làng' 'biển'
 ',' 'không' 'hình_hài' ',' 'di_ảnh' ',' 'anh_em' 'bạn' 'thúng' 'mỗi'
 'người' 'góp' 'một_ít' 'cùng' 'với' '4' 'triệu' 'đồng' 'chủ' 'ghe'
 'phúng_điếu' ',' 'tặng' 'cho' 'bốn' 'đứa' 'con' 'nhỏ' 'côi_cút' ','
 'chưa' 'đứa' 'nào' 'đủ' 'tuổi' 'để' 'xuống' 'ghe' 'đi' 'bạn' '.']","[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
['Không' 'ngờ' 'vô_tình' 'biết' 'anh' 'ở' 'đây' '.'],[0 0 0 0 0 0 0 0]
"['Câu_chuyện' 'truy_tìm' 'kẻ' 'khủng_bố' 'hạnh_phúc' 'gia_đình' 'bằng'
 'điện_thoại' 'vì_vậy' 'đã' 'được' 'giao' 'cho' 'thám_tử' 'Cường' '-'
 'một' 'người' 'đàn_ông' 'đã' 'có' 'vợ' ',' 'khéo_léo' 'và' 'tinh_tế'
 '...']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
"['Chạy' 'gạo' 'từng' 'bữa' 'mấy' 'hôm_nay' 'cũng' 'nhờ' 'đổi' 'mấy' 'con'
 'gà' ',' 'con' 'vịt' 'gửi' 'tránh' 'nước' 'lũ' '""' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Không' 'biết' 'do' 'đâu' 'mà' 'năm' '1997' 'xã' 'lại' 'lập' 'hồ_sơ'
 'giả' 'cho' 'rằng' 'ông' 'Khuyên' 'đang' 'chỉ_huy' 'dân_quân' 'lấp' 'hố'
 'bom' 'thì' 'bị' 'bom' 'sát_hại' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]
"['Chúng_tôi' 'được' 'cô' 'Mai' 'Huỳnh' ',' 'con__gái' 'ông' 'chủ' ',' '""'
 'tiếp_thị' '""' 'các' 'món' 'ăn' 'rất' 'Nam_bộ' 'như' 'cá' 'kho' 'tiêu'
 ';' 'canh' 'đậu_hũ' ',' 'lá' 'hẹ' 'nấu' 'thịt' 'bằm' '.']",[0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Đây' 'cũng' 'là' 'một' 'trong' 'những' 'lò' 'đầu_tiên' 'tại' 'Bangkok'
 'thu_nhận' 'học_viên' 'nước_ngoài' '.']",[0 0 0 0 0 0 0 0 0 5 0 0 0 0]
"['Hết' 'tiền' 'thì' 'cũng' 'hết' 'bạn' ',' 'chán' 'nhân_tình_thế_thái' ','
 'Q.' 'thản_nhiên' 'tự' 'nhốt' 'mình' 'bốn' 'tháng' 'cai' '“' 'trắng' '”'
 'bằng' 'rượu' '.']",[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Trong' 'khi' 'đó' 'một' 'nhóm' 'ngư_dân' 'Indonesia' 'đang' 'túm_tụm'
 'trên' 'phà' 'xem' 'báo' ',' 'họ' 'bàn_tán' 'ghê' 'lắm' 'về' 'thông_tin'
 'Bộ' 'Quốc_phòng' 'Indonesia' 'đang' 'đặt' 'mua' '22' 'tàu_chiến' 'loại'
 'hiện_đại' 'nhất' 'để' 'tăng_cường' 'tuần_tra' 'trên' 'vùng' 'eo_biển'
 '.']","[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0]"
"['Khói' 'mịt_mù' ',' 'Nguyên' 'phải' 'dùng' 'tay' 'và' 'chân' 'đập' 'bể'
 'các' 'cửa_kính' 'cho' 'khói' 'thoát' 'ra' 'ngoài' '...']",[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Dudt' 'tâm_sự' ':' '“' 'Buổi' 'sáng' 'em' 'đến' 'trường' '(' 'Dudt'
 'đang' 'học' 'lớp' '7' ')' '.']",[1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]
"['Biết' 'ông' 'Chương' 'không' 'muốn' 'nói' 'hết' 'chuyện' 'gia_đình' 'vì'
 'ông' 'đã' 'trót' 'nói_dối' 'Hùng' 'nên' 'Hùng' 'cũng' 'không' 'dồn_ép'
 'vội_vàng' '.']",[0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0]
"['Tiền_của' 'đều' '“' 'đội' 'nón' '”' 'ra' 'đi' ',' 'lại' 'thêm' 'mấy'
 'trăm' 'triệu' 'nợ_nần' 'chồng_chất' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
['Cha_mẹ' 'Linh' 'thì' 'im_lặng' 'trong' 'đau_đớn' 'tột_cùng' '.'],[0 1 0 0 0 0 0 0]
"['Một' 'số' 'khác' 'kinh_doanh' 'trong' 'các' 'ngành' 'chế_biến'
 'lương_thực' 'thực_phẩm' 'với' 'các' 'nhà_máy' 'xay_xát' 'lúa' 'gạo' ','
 'chế_biến' 'bánh_phở' ',' 'mở' 'các' 'điền_trang' 'trồng' 'cây' 'ăn'
 'quả' ',' 'chăn_nuôi' '...']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Chính_xác' 'sự_thật' 'thế_nào' 'quản_giáo' 'Thắng' 'không' 'hiểu' 'hết'
 ',' 'nhưng' 'anh' 'biết' 'người' 'tử_tù' 'này' 'tan_nát' 'cõi_lòng' '.']",[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
['Và' 'chẳng' 'thấy' 'lũ' 'trẻ' 'chơi' 'trong' 'ngõ' 'nhỏ' '.'],[0 0 0 0 0 0 0 0 0 0]
"['Mình' 'chú_ý' 'nhiều' 'đến' 'bức' 'ảnh' 'Paven' 'ngồi' 'như' 'một'
 'ông_già' 'nhưng' 'sôi_sục' 'ngọn' 'lửa' 'sống' '.']",[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0]
"['Làm_việc' 'liên_tục' 'trên' 'tàu' 'được' 'hơn' 'sáu' 'tháng' 'thì'
 'bụng' 'đau' 'dữ_dội' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Mọi' 'kế_hoạch' 'và' 'thành_quả' 'có' 'nguy_cơ' 'đổ_vỡ' ',' 'Hải' 'và'
 'tất_cả' 'thành_viên' 'tham_gia' 'lâm' 'vào' 'tình_thế' 'cam_go' '...']",[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
"['Đó' 'là' 'chưa' 'kể' 'việc' 'Liên' 'có_thể' 'sụp_đổ' 'đến' 'mức'
 'tự_vẫn' 'hay' 'bỏ' 'nhà' ',' 'bỏ' 'việc' '.']",[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
"['Lúc' 'này' 'Khoán' 'có' 'mâu_thuẫn' ',' 'cãi_vã' 'với' 'một_số'
 'công_nhân' 'làm_việc' 'ở' 'thuỷ_điện' 'Ia_Me' '3' 'nên' 'Hải' 'bảo'
 'Khoán' 'đi' 'về' '.']",[0 0 1 0 0 0 0 0 0 0 0 0 0 5 6 0 1 0 1 0 0 0]
"['Chị' 'Á' 'với' 'chiếc' 'bụng' 'bầu' 'to' 'còn' 'mấy' 'tháng' 'nữa' 'là'
 'sinh' 'đang' 'loay_hoay' 'xếp' 'tấm' 'bìa' 'thùng' 'cactông' '.']",[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Nguyên' 'phân_công' 'anh' 'bạn' 'đồng_nghiệp' 'ở' 'vòng' 'ngoài'
 'bảo_vệ' ',' 'còn' 'mình' 'leo' 'lên' 'lầu' 'của' 'khu_vực' 'cháy' 'để'
 'cứu' 'người' 'và' 'chữa_cháy' '.']",[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Theo' 'kế_hoạch' ',' 'những' 'ngày' 'đầu' 'cả' 'hai' 'luyện' 'tiếng'
 'Anh' 'trước' 'khi' 'thi' 'vào' 'đại_học' '.']",[0 0 0 0 0 0 0 0 0 7 8 0 0 0 0 0 0]
"['Thật' 'đáng' 'tiếc' 'biết_bao' ',' 'những' 'ngày' 'này' 'trăng' 'rắc'
 'bụi' 'vàng' 'trên' 'các' 'nẻo' 'đường' 'Hà_Nội' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0]
"['Hải' 'và' 'bố_mẹ' 'ngày' 'trước' 'ở' 'chung' 'với' 'ông_bà' 'trên'
 'đường' 'Bưởi' 'và' 'người' 'bạn' 'nọ' 'quen_biết' 'Hải' 'trong'
 'thời_kỳ' 'Hải' 'ở' 'đó' '.']",[1 0 0 0 0 0 0 0 0 0 5 6 0 0 0 0 0 1 0 0 1 0 0 0]
"['Cho_nên' 'phương_án' 'của' 'ông' 'Phong' 'là' '“' 'bán' 'cả' 'con' 'kia'
 '”' '(' 'ông' 'có' 'hai' 'con' ')' ',' '“' 'còn' 'thiếu' 'nữa' 'thì'
 'bán' 'thêm' 'cái' 'gì' 'đó' 'để' 'trả' 'nợ' 'ngân_hàng' '”' '.']",[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Một' 'thời_gian' 'ngắn' 'sau' 'trận' 'tỉ_thí' 'lịch_sử' ',' 'Minh'
 'Sang' 'cũng' 'chính_thức' 'tuyên_bố' 'giải_nghệ' 'và' 'lui' 'về' 'mở'
 'trường' 'dạy' 'võ' 'tại' 'Trung' 'Cộng_đồng' 'Nguyễn' 'Tri' 'Phương' '.']",[0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 3 4 4 4 4 0]
"['Kao' 'chỉ' 'mới' 'được' 'gửi' 'lên' 'đây' 'hơn' 'một' 'tuần' ',' 'những'
 'bài_tập' 'đầu_tiên' 'mới_chỉ' 'là' 'những' 'điệu' 'múa' 'khởi_động' '“'
 'Wai-kru' '”' 'mà' 'Kao' 'rất' 'thích' ',' 'nhưng' 'em' 'đâu' 'thể'
 'biết' 'phía' 'trước' 'sẽ' 'là' 'con' 'đường' 'dài' 'đầy' 'máu' 'và'
 'nước_mắt' '…']","[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0]"
"['An_Lư' 'cũng' 'tích_cực' 'đào_tạo' 'các' 'thuyền_viên' 'người'
 'địa_phương' 'thay_vì' 'phải' 'đi' 'thuê' 'thuyền_viên' 'từ' 'nơi' 'khác'
 '.']",[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Anh' 'cười' 'tươi' ':' '""' 'Nếu' 'không' 'thắng' 'thì' 'đâu' 'còn'
 'sống' 'đến' 'bây_giờ' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Hắn' 'không' 'có' 'một' 'dữ_liệu' 'nào' 'nằm' 'trong' 'tay' 'thám_tử'
 'nên' 'bằng' 'mọi' 'giá' 'phải' 'bám' 'theo' 'tên' 'này' '!']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Và' 'cho_dù' 'xảy' 'ra' 'tình_huống' 'nào' 'thì' 'ông' 'giám_đốc' 'cũng'
 'chột_dạ' '.']",[0 0 0 0 0 0 0 0 0 0 0 0]
['Để' 'em' 'tính' 'lại' '.'],[0 0 0 0 0]
"['Ông' 'đến' 'có' 'khi' 'mặc' 'sắc_phục' ',' 'có' 'khi' 'mặc'
 'thường_phục' ',' 'không' 'xua_đuổi' 'người' 'hiếu_kỳ' ',' 'không'
 'tra_hỏi' 'người' 'trong' 'cuộc' ',' 'không' 'can_ngăn' 'phóng_viên'
 'báo_chí' 'chụp' 'hình' '...' ',' 'ông' 'lầm_lũi' 'đạp' 'trên' 'những'
 'đống' 'đổ_nát' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0]"
"['Có' 'đứa' 'trả_lời' ':' 'chưa' 'có' 'lúc' 'nào' 'thấy' 'hạnh_phúc' '!'
 '""' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Vậy' 'đó' ',' 'lửa' 'thử' 'vàng' 'gian_nan' 'thử' 'sức' '.']",[0 0 0 0 0 0 0 0 0 0]
"['Chung' 'một' 'chữ' '""' 'Lương' '""' '...']",[0 0 0 0 0 0 0]
"['Bước' 'vào' 'đầu' 'ngõ' ',' 'nhà' 'cô' 'Cúc' 'phơi' 'đầy' 'bánh_tráng'
 'phía' 'trước' '.']",[0 0 0 0 0 0 0 1 0 0 0 0 0 0]
"['Nếu' 'có' 'trở_ngại' 'một_chút' 'thì' 'đúng' 'là' 'lượng' 'khách' 'trên'
 'tuyến' 'quốc_lộ' '9' 'sang' 'Lào' 'và' 'Thái' 'khá' 'đông' ',' 'song'
 'bộ_phận' 'làm' 'thủ_tục' 'ở' 'các' 'cửa_khẩu' 'ít' 'người' 'quá'
 'thành_ra' 'vẫn' 'phải' 'chờ' '.']",[0 0 0 0 0 0 0 0 0 0 0 5 6 0 5 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Anh' 'Dĩa' 'kéo' 'chúng_tôi' 'lên' 'bờ' ',' 'khui' 'bia' ',' 'rượu'
 'Rồng_Xanh' 'liên_hoan' 'mừng' 'thắng_lợi' ',' 'sò_huyết' 'Cà_Mau' 'ngon'
 'nổi_tiếng' 'cứ' 'luộc' 'từng' 'thúng' 'mà' 'ăn' '.']",[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0]
"['Có' 'đúng' 'chị' 'nằm' 'trên' 'một' 'dãy' 'núi' 'cao' 'ở' 'miền' 'tây'
 'Đức_Phổ' '?']",[0 0 0 0 0 0 0 0 0 0 0 0 5 0]
"['Bắt_đầu' 'từ' 'năm' '1961' ',' 'xã' 'Nhuận_Đức' 'phát_động' 'phong_trào'
 'đào' 'địa_đạo' '.']",[0 0 0 0 0 5 6 0 0 0 0 0]
"['Năm' 'nay' 'đầu' 'trên' 'xóm' 'dưới' 'lắc_đầu' 'ngao_ngán' 'bỏ' 'luôn'
 'vụ' 'dưa_hấu' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Và' 'đến' 'nay' 'những' 'mét' 'hầm' 'cuối_cùng' 'cũng' 'đã' 'về' 'đích'
 '.']",[0 0 0 0 0 0 0 0 0 0 0 0]
"['Đèn' 'đường' 'loang_loáng' ',' 'hoà' 'chung' 'dòng' 'xe' 'tấp_nập'
 'trên' 'đường_phố' 'khu' 'trung_tâm' 'quận' '1' ',' 'chị' 'D.' 'vẫn' 'gò'
 'lưng' 'đạp' 'chiếc' 'xe' 'cọc_cạch' ',' 'trước' 'giỏ' 'xe' 'để' 'một'
 'bịch' 'xốp' 'đựng' 'phiếu' 'bướm' 'và' 'những' 'hộp' 'bao_cao_su' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 5 6 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0]"
['Cả' 'đám' 'bắt_đầu' 'lên_cơn' 'lắc' 'quậy' 'điên_cuồng' '...'],[0 0 0 0 0 0 0 0]
"['Ở' 'trạm_xá' 'xã' 'Hưng_Long' 'đối_diện' 'với' 'căn' 'nhà' 'tử_tội'
 'Hải' '“' 'luận' '“' ',' 'kẻ' 'cầm_đầu' 'đường_dây' 'mua_bán' '2.354'
 'bánh' 'heroin' ',' 'công_an' 'địa_phương' 'đang' 'căng_thẳng' 'với'
 'một' 'lớp' 'cai_nghiện' 'tập_trung' '.']",[0 0 5 6 0 0 0 0 0 1 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Mới_đó' 'mà' 'ta' 'xa' 'nhau' ',' 'thật' 'là' 'kinh_khủng' '.']",[0 0 0 0 0 0 0 0 0 0]
"['Trong' 'cuộc' 'chiến_đấu' 'vì' 'nghĩa_vụ' 'quốc_tế' 'với' 'nước' 'bạn'
 'Lào' 'có' '36.000' 'quân_tình_nguyện' 'VN' 'mãi_mãi' 'nằm' 'lại' 'trên'
 'những' 'cánh' 'rừng' 'bạt_ngàn' 'trên' 'đất' 'bạn' '.']",[0 0 0 0 0 0 0 0 0 5 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0]
"['Mỗi' 'khi' 'sóng' 'dập' 'vào' 'và' 'đẩy' 'người' 'lên' 'theo' 'thật'
 'cao' 'thì' 'mới' 'có_thể' 'với' 'tới' 'được' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Đây' 'là' 'một' 'giai_đoạn' 'khó_khăn' ',' 'đau_đớn' 'nhất' 'của' 'đời'
 'má' '.']",[0 0 0 0 0 0 0 0 0 0 0 0]
"['Và' 'hôm_nay' ',' 'chúng_ta' 'cũng' 'cần' 'hỏi' 'câu' 'hỏi' 'này' 'với'
 'chính' 'mình' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
['Thạc_sĩ' 'thú_y' 'với' 'bầy' 'muông_thú' '.'],[0 0 0 0 0 0]
"['Tôi' 'lại' 'điện' 'hỏi_thăm' 'ông' 'khi' 'về' 'tới' 'nhà' ',' 'ông'
 'nói' 'những' 'bài' 'báo' 'rất' 'được' 'quan_tâm' 'và' 'ngày' 'nào'
 'những' 'người' 'Việt' 'ở' 'hãng' 'và' 'vợ' 'ông' 'cũng' 'download' 'về'
 'cho' 'ông' 'cùng' 'đọc' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 8 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Hương_Rừng' 'xuất_hiện' 'ở' 'nhiều' 'nơi' 'từ' 'nội_thành' 'ra'
 'ngoại_thành' 'nhưng' 'ấn_tượng' 'nhất' 'có_lẽ' 'là' 'Hương_Rừng' '2' 'ở'
 'góc' 'đường' 'Hai' 'Bà' 'Trưng' '-' 'Nguyễn' 'Đình' 'Chiểu' ',' 'quận'
 '1' '(' 'còn' 'một' 'quán' 'Hương_Rừng' 'khác' 'nằm' 'trên' 'đường'
 'Nguyễn' 'Trãi' ',' 'quận' '1' 'cũng' 'nổi_tiếng' 'bán' 'hàng' 'độc' ')'
 '.']","[5 0 0 0 0 0 0 0 0 0 0 0 0 0 5 6 0 0 5 6 6 6 0 5 6 6 0 5 6 0 0 0 5 6 0 0 0
 5 6 6 0 5 6 0 0 0 0 0 0 0]"
"['Nhìn' 'những' 'cảnh' 'đó' 'mình' 'cười' 'mà' 'nước_mắt' 'chực' 'trào'
 'ra' 'trên' 'mi' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Ông' 'nhớ' 'mãi' 'năm' 'cô' 'con' 'gái' 'út' 'học' 'cấp' 'II' ','
 'thương' 'con' ',' 'nhiều' 'khi' 'chạy' 'xe' 'mua' 'được' 'miếng' 'bánh'
 'ngon' ',' 'lúc' 'vắng' 'khách' 'ông' 'chạy' 'đến' 'trường' 'đưa' 'cho'
 'con' 'gái' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
['Đường' 'về' 'xã' 'Ia_Yeng' 'cắt' 'ngang' 'cánh' 'đồng' 'Ayun_Hạ' '.'],[0 0 5 6 0 0 0 0 5 0]
"['Sang' 'đây' ',' 'đầu_tiên' 'tôi' 'làm' 'nghề' 'rửa' 'chén' 'ở'
 'nhà_hàng' ',' 'rồi' 'được' '""' 'lên' 'chức' '""' 'làm_bếp' ',' 'phụ'
 'bồi' ',' 'rồi' 'bồi' '...' '12' 'năm' 'có' 'lẻ' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Cộng_tác_viên' 'của' 'Thanh' 'ở' 'Berlin' 'tìm' 'đến' 'khu_vực' 'xưa'
 'Hùng' 'cư_trú' '.']",[0 0 1 0 5 0 0 0 0 1 0 0]
"['Trời' 'đang' 'mưa' 'lớn' ',' 'con' 'tàu' 'bị' 'chao' 'lắc' 'rất' 'mạnh'
 'và' 'sóng' 'đánh' 'văng' 'dội' 'lên' 'cả' 'boong' 'tàu' '...' '”' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['2' 'g' 'chiều' ',' 'một' 'thuỷ_thủ' 'quê' 'Bến_Tre' 'nhận' 'ra' 'được'
 'cửa' 'Gành_Vàng' ',' 'tức_là' 'trên' 'Rạch_Gốc' 'chừng' '10' 'hải_lý'
 '.']",[0 0 0 0 0 0 0 5 0 0 0 0 5 0 0 0 5 0 0 0 0]
"['Tốt_nghiệp' 'Trường' 'đại_học' 'Y_khoa' 'Hà_Nội' 'năm' '1966' ',' 'Thuỳ'
 'Trâm' 'xung_phong' 'vào' 'công_tác' 'ở' 'chiến_trường' '.']",[0 3 4 4 4 0 0 0 1 2 0 0 0 0 0 0]
